job_url,title,company,date_posted,description,scraped_at,date_posted_clean,seniority,work_mode
/job/software-engineer-consultant-united-nations-environment-programme-unep,Software Engineer (Consultant) at United Nations Environment Programme (UNEP),United Nations Environment Programme (UNEP),06 July,"Duties and Responsibilities There is an immediate operational need to: Support the design, development, and deployment of the WESR use cases, including the digital EDC Toolkit (Assessment&nbs",2026-07-06T16:03:09,2026-07-06,Mid/Unspecified,Unspecified
/job/junior-software-support-engineer-tana,Junior Software Support Engineer at Tana,Tana,03 July,"Position Overview We are hiring Junior Software Support Engineers to join a global software company that provides technology solutions for laboratory operations, data management, and workflow au",2026-07-06T16:03:09,2026-07-03,Junior,Unspecified
/job/software-engineering-intern-burn,Software Engineering Intern at BURN,BURN,03 July,"About the role: BURN is seeking motivated, enthusiastic, and eager-to-learn interns to join various departments across the organization. The internship program offers recent graduates",2026-07-06T16:03:09,2026-07-03,Intern,Unspecified
/job/software-and-ai-engineering-internship-cytonn-investments,Software And AI Engineering Internship at Cytonn Investments,Cytonn Investments,30 June,"Responsibilities Web Development Requirements Bachelor's degree in Computer Science, Mathematics, Statistics, Engineering, or a related quantitative field from a recognised univer",2026-07-06T16:03:09,2026-06-30,Intern,Unspecified
/job/senior-functional-software-engineer-with-clojure-experience-a-must-have-tezza-business-solutions-ltd,Senior Functional Software Engineer (With Clojure Experience a Must Have) at Tezza Business Solutions Ltd,Tezza Business Solutions Ltd,30 June,"Key responsibilities: Backend Development Design, develop, and maintain high-performance backend services using Java Spring Boot (or similar frameworks) and Clojure. Adhere tclean code princ",2026-07-06T16:03:09,2026-06-30,Senior,Unspecified
/job/software-engineer-ii-microsoft-13,Software Engineer II at Microsoft,Microsoft,26 June,"Responsibilities Design and build scalable notification capabilities: Contribute to developing core backend services that enable reliable, high‑scale delivery of identity notifications ac",2026-07-06T16:03:09,2026-06-26,Mid/Unspecified,Unspecified
/job/senior-software-engineer-cic-insurance-1,Senior Software Engineer at CIC Insurance,CIC Insurance,22 June,"About the Role Reporting to the Software Engineering Manager, the role holder will lead the design and development of modern, scalable, and user-centric web applications with a strong focus on fron",2026-07-06T16:03:09,2026-06-22,Senior,Unspecified
/job/trainee-program-software-engineering-kcb-bank-kenya,Trainee Program - Software Engineering at KCB Bank Kenya,KCB Bank Kenya,20 June,"About the Programme KCB Bank Kenya, regulated by the Central Bank of Kenya, is a leading force in East African banking, and we're growing our next generation of leaders. If you are a driven, hi",2026-07-06T16:03:09,2026-06-20,Mid/Unspecified,Unspecified
/job/engineer-software-automation-standard-bank-group,"Engineer, Software Automation at Standard Bank Group",Standard Bank Group,11 June,"Job Description To design, build, test, and maintain software solutions while contributing to the Automation and Robotics that improve delivery speed, quality, and operational reliability. The r",2026-07-06T16:03:09,2026-06-11,Mid/Unspecified,Unspecified
/job/senior-software-engineer-cic-insurance,Senior Software Engineer at CIC Insurance,CIC Insurance,08 June,"About the Role Reporting to the Software Engineering Manager, the role holder will lead the design and development of robust, scalable, and high-performance backend systems. The ideal candidate sho",2026-07-06T16:03:09,2026-06-08,Senior,Unspecified
